test_year,rl_total_return,rl_sharpe,rl_max_dd,rl_final,rl_D_reward,ew_total_return,ew_sharpe,ew_final,sp_final
2012,0.049458249999999995,0.6860888337124226,0.06082046768363778,104945.825,90.18304445437846,0.15880570312500009,1.2627228761556963,115880.5703125,114493.070386009
2013,0.21263045312499998,2.539464742874618,0.02934520932185867,121263.0453125,86.43120038279437,0.2646207031250001,2.2236125350502776,126462.0703125,125532.24929923558
2014,0.11872795312500002,1.5143374922841495,0.04786172089588862,111872.7953125,-77.05184283964239,0.14460867187499993,1.2924580187646588,114460.8671875,112385.80716400637
2015,-0.03522597802734377,-0.31777595879187387,0.13302875269520428,96477.40219726562,21.31468020420658,-0.025762890625000034,-0.09705911178559755,97423.7109375,99608.037194902
2016,0.12978853125,1.2321061956497492,0.051170404812768536,112978.853125,-160.05447870548144,0.16598632812500003,1.2690922571826417,116598.6328125,111956.11277069368
2017,0.113502578125,2.30708744938065,0.018182780599415683,111350.2578125,4.288943517367295,0.19150015625000005,2.8376617989000517,119150.015625,118718.92804552459
2018,0.025259109375000043,0.28081489679860594,0.10087266737825047,102525.9109375,-68.12351502260552,-0.06698320312499995,-0.3781172121055159,93301.6796875,92516.56708985238
2019,0.1674025263671875,2.011852376953372,0.04941021858750635,116740.25263671875,48.50294534360448,0.2826488281249999,2.2121023321233544,128264.8828125,133088.09793830526
2020,-0.04161250337982181,0.005873346284769982,0.29687641379645285,95838.74966201783,20.178630831504183,0.08515843750000007,0.40769690084932547,108515.84375,114399.42472218376
2021,0.23046981249999998,1.9618262142799985,0.053819602482841136,123046.98125,-7.159816620335809,0.31016859375000005,2.241428550696304,131016.859375,128224.02351384543
